Abalphat d'Ispahan (Perse, 990-)
Tadeusz Ważewski (Pologne, 1896-1972)
Teiji Takagi (Japon, 1875-1960)
Terence Tao (Australie, 1975-)
Thalès de Milet (Grèce, -625--547)
Théétète d'Athènes (Grèce, -415--369)
Théodore de Cyrène (Grèce, -470--420)
Theodor Molien (Russie, 1861-1941)
Théon d'Alexandrie (Égypte, 1re moitié du IVe siècle)
Thomas Abbt (Allemagne, 1738-1766)
Thomas Bayes (Angleterre, 1702-1761)
Thomas Bradwardine (Angleterre, 1290-1349)
Thomas Fincke (Danemark, 1561-1656)
Thomas Harriot (Angleterre, 1560-1621)
Thomas Heath (Angleterre, 1861-1940)
Thomas Joannes Stieltjes (Hollande, 1856-1894)
Thomas Muir (Royaume-Uni, 1844-1934)
Thomas Simpson (Angleterre, 1710-1761)
Tibor Radó (Hongrie, 1895-1925)
Tommaso Ceva (Italie, 1648-1737)
Tsuneo Tamagawa (Japon, 1925-)
Tullio Levi-Civita (Italie, 1873-1941)
Václav Hlavatý (République tchèque, 1894-1969)
Varahamihira (Inde, 505-587)
Vaughan Jones (Nouvelle-Zélande, 1952-)
Victor Alexandre Puiseux (France, 1820-1883)
Viggo Brun (Norvège, 1885-1978)
Vincenzo Viviani (Italie, 1622-1703)
Vito Volterra (Italie, 1860-1940)
Vladimir Arnold (Russie, 1937-2010)
Vladimir Drinfeld (Ukraine, 1954-)
Vladimir Rokhlin (Russie, 1919-1984)
Vladimir Steklov (Russie, 1864-1926)
Vladimir Voïevodski (Russie, 1966-2017)
Waclaw Sierpinski (Pologne, 1882-1969)
Wendelin Werner (France, 1968-)
Wilhelm Ackermann (Allemagne, 1896-1962)
Willebrord van Roijen Snell (Hollande, 1580-1626)
William Brouncker (Angleterre, 1620-1684)
William Burnside (Royaume-Uni, 1852-1927)
William Emerson (Angleterre, 1701-1782)
William Feller (Croatie, 1906-1970)
William Jones (Angleterre, 1675-1749)
William Kingdon Clifford (Angleterre, 1845-1879)
William Oughtred (Angleterre, 1574-1660)
William Rowan Hamilton (Irlande, 1805-1865)
William Spottiswoode (Angleterre, 1825-1883)
William « Student » Gosset (Angleterre, 1876-1937)
William Thurston (États-Unis, 1946-2012)
William Timothy Gowers (Angleterre, 1963-)
Witold Hurewicz (Pologne, 1904-1956)
Władysław Orlicz (Pologne, 1903-1990)
W. W. Rouse Ball (Angleterre, 1850-1925)
Yegor Ivanovich Zolotarev (Russie, 1847-1879)
Yehoshua Bar-Hillel (Israël, 1915-1975)
Yoriyuki Arima (Japon, 1714-1783)
Yulian Vasilievich Sokhotski (Russie, 1842-1927)
Yuri Linnik (Russie, 1915-1972)
Yuri Matiyasevich (Russie, 1947-)
Yutaka Taniyama (Japon, 1927-1958)
Zénodore (Grèce, 2e moitié du IIe siècle av. J.-C.)
Zénon d'Elée (Grèce, -490--430)
Zhang Heng (Chine, 78-139)
Zhu Shijie (Chine, 1270-1330)
Zu Chongzhi (Chine, 429-500)
Zygmunt Janiszewski (Pologne, 1888-1920)
