Abalphat d'Ispahan (Perse, 990-)
Démocrite d'Abdère (Grèce, -460--370)
Derrick Henry Lehmer (États-Unis, 1905-1991)
Dinostrate (Grèce, milieu du IVe siècle av. J.-C.)
Dioclès (Grèce, 1re moitié du IIe siècle av. J.-C.)
Diophante d'Alexandrie (Égypte de Ptolémée, 214-298)
Dirk Jan Struik (Hollande, 1894-2000)
Donald Knuth (États-Unis, 1938-)
Eberhard Hopf (Autriche, 1902-1983)
Edmond Laguerre (France, 1834-1886)
Edmund Landau (Allemagne, 1877-1938)
Édouard Lucas (France, 1842-1891)
Eduard Čech (République tchèque, 1893-1960)
Eduard Heine (Allemagne, 1821-1881)
Edward John Routh (Angleterre, 1831-1907)
Edward Marczewski (Pologne, 1907-1976)
Edward Waring (Angleterre, 1736-1798)
Edward Witten (États-Unis, 1951-)
Efim Zelmanov (Russie, 1955-)
Ehrenfried Walther von Tschirnhaus (Allemagne, 1651-1708)
Élie Cartan (France, 1869-1951)
Elwin Bruno Christoffel (Allemagne, 1829-1900)
Emanuel Lasker (Allemagne, 1868-1941)
Emanuel Sperner (Allemagne, 1905-1980)
Emil Artin (Autriche, 1898-1962)
Émile Borel (France, 1871-1956)
Émilie du Châtelet (France, 1706-1749)
Emil Post (Pologne, 1897-1954)
Emmy Noether (Allemagne, 1882-1935)
Enrico Bombieri (Italie, 1940-)
Ératosthène (Grèce, -276--196)
Erich Kähler (Allemagne, 1905-2000)
Eric Temple Bell (Écosse, 1883-1960)
Ernest Esclangon (France, 1876-1954)
Ernesto Cesàro (Italie, 1859-1906)
Ernst Friedrich Ferdinand Zermelo (Allemagne, 1871-1953)
Ernst Leonard Lindelöf (Finlande, 1870-1946)
Ernst Steinitz (Allemagne, 1871-1928)
Estienne de La Roche (France, 1470-1530)
Étienne Bézout (France, 1730-1783)
Étienne Louis Malus (France, 1775-1812)
Euclide (Grèce, env. -365--275)
Eudoxe de Cnide (Grèce, -408--347)
Eugène Charles Catalan (Belgique, 1814-1894)
Eugene Dynkin (Russie, 1924-2014)
Eugenio Beltrami (Italie, 1835-1900)
Évariste Galois (France, 1811-1832)
Fan Chung (Taïwan, 1949-)
Farkas Wolfgang Bolyai (Hongrie, 1775-1856)
Federigo Enriques (Italie, 1871-1946)
Felix Bernstein (Allemagne, 1878-1956)
Felix Hausdorff (Allemagne, 1869-1942)
Ferdinand Eisenstein (Allemagne, 1823-1852)
